stop_id,stop_name,stop_lat,stop_lon,parent_station
100449,Cedar Hill at Hibberson (NB),48.444969,-123.346512,
100450,Shelbourne at Haultain (NB),48.436482,-123.33355,
100451,Richmond at Denman (NB),48.431969,-123.329396,
100452,Burnside Rd E at Balfour (WB),48.44848604,-123.3825382,
100453,Oak Bay at Chamberlain (EB),48.426389,-123.326727,
100454,Douglas at Cloverdale (SB),48.449639,-123.373744,
100455,Quadra at Tolmie (NB),48.449313,-123.361692,
100456,Douglas at Cloverdale (NB),48.449857,-123.373511,
100457,Craigflower at Lampson (WB),48.441563,-123.401273,
100458,Oak Bay at Davie (WB),48.426523,-123.32653,
100459,Gorge Rd W at Wascana (EB),48.445247,-123.392976,
100460,Crescent at Foul Bay (WB),48.412087,-123.327079,
100461,Shelbourne at Kings (SB),48.43756,-123.333723,
100462,Gorge Rd W at Wascana (NB),48.445765,-123.393455,
100463,Craigflower at Lampson (EB),48.441405,-123.401304,
100464,Colville at MacLeod (EB),48.438692,-123.405387,
100466,Colville at MacLeod (WB),48.438802,-123.405422,
100467,Fraser at Wychbury (NB),48.42653,-123.414407,
100468,Richmond at Bay (SB),48.433392,-123.329339,
100469,Fraser at Lyall (SB),48.427676,-123.413922,
100470,Esquimalt at Fraser (WB),48.43026464,-123.4132732,
100471,Esquimalt at Park (EB),48.43007124,-123.4139463,
100472,Munro at Fraser (SB),48.424041,-123.415532,
100473,Lyall at Fraser (WB),48.428171,-123.414092,
100474,Cook at Tovido (SB),48.447471,-123.349804,
100475,Foul Bay at Romney (SB),48.418796,-123.324568,
100476,Tillicum at Craigflower (NB),48.442248,-123.40194,
100477,Foul Bay at Runnymede (NB),48.418993,-123.324086,
100478,Fraser at Wychbury (SB),48.426149,-123.414814,
100479,Richmond at Emerson (NB),48.434059,-123.328998,
100481,Fraser at Bewdley (NB),48.424679,-123.415488,
100482,Crescent at Foul Bay (EB),48.41214774,-123.3280533,
100483,Tillicum at Craigflower (SB),48.441309,-123.402436,
100485,Shelbourne at Kings (NB),48.438519,-123.333459,
100486,Burnside Rd E at Harriet (EB),48.449192,-123.384259,
100487,Finlayson at Cook (EB),48.447802,-123.348586,
100488,Cook at Finlayson (NB),48.448097,-123.349796,
100489,Foul Bay at McNeill (SB),48.420524,-123.323458,
100490,Finlayson at Cook (WB),48.447881,-123.348986,
100491,Craigflower at Tillicum (WB),48.442276,-123.403154,
100492,Craigflower 1030 block (EB),48.4425,-123.404028,
100493,Foul Bay at Quamichan (NB),48.420595,-123.323313,
100495,Harriet at Burnside Rd E (NB),48.449919,-123.384005,
100496,Sooke 5220 block (SB),48.39095,-123.641115,
100497,Cedar Hill at Gosworth (NB),48.446581,-123.344971,
100498,Fort at Lee (WB),48.431454,-123.32615,
100499,Cedar Hill at Gosworth (SB),48.446582,-123.345186,
100500,McNeill at Foul Bay (EB),48.420232,-123.322793,
100501,Tillicum at Gosper (NB),48.44402561,-123.4013598,
100502,Oak Bay at Amphion (EB),48.426378,-123.324006,
100503,Gorge Rd W at Millgrove (WB),48.446825,-123.39543,
100504,McNeill at Foul Bay (WB),48.420365,-123.322928,
100505,Hillside at Doncaster (WB),48.443564,-123.338807,
100506,Richmond at Adanac (SB),48.435529,-123.32889,
100507,Uvic Exchange Bay H,48.46639431,-123.3086463,800001
100508,Metchosin at Wootton (SB),48.381017,-123.530187,
100509,Tillicum at Gosper (SB),48.443678,-123.401692,
100511,Foul Bay at Edgecliffe (SB),48.422254,-123.322501,
100512,Oak Bay at Amphion (WB),48.42651036,-123.3232962,
100513,Cook at Slater (SB),48.449043,-123.350332,
100514,Hillside at Doncaster (EB),48.443836,-123.337689,
100515,Fort at Lee (EB),48.431559,-123.325086,
100517,Foul Bay at Oak Bay (SB),48.4261976,-123.3228205,
100518,Richmond at Haultain (NB),48.436228,-123.328545,
100519,Lyall at Admirals (WB),48.428337,-123.416685,
