shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,stop_id,travel_time
26.2,48.4300099,-123.4157982,273,,
26.2,48.42989479,-123.4169582,274,,
26.2,48.4298864,-123.4172798,275,,
26.2,48.42986356,-123.4173418,276,,
26.2,48.42985886,-123.4175259,277,100545,60
26.2,48.42984143,-123.4182092,278,,
26.2,48.4298285,-123.4190465,279,,
26.2,48.4298259,-123.4191614,280,,
26.2,48.4297756,-123.420392,281,,
26.2,48.4296277,-123.4217224,282,,
26.2,48.4295962,-123.4220067,283,100597,90
26.2,48.42955726,-123.4223581,284,,
26.2,48.4294726,-123.4230572,285,,
26.2,48.42931649,-123.4244987,286,,
26.2,48.4288982,-123.4245062,287,100651,60
26.2,48.4282113,-123.4245184,288,,
26.2,48.4279112,-123.4267112,289,,
26.2,48.42776543,-123.427349,290,,
26.2,48.4275902,-123.4281156,291,100698,60
27.1,48.4878698,-123.3186995,0,101357,0
27.1,48.48703119,-123.3192362,1,,
27.1,48.4860519,-123.3198065,2,,
27.1,48.48539393,-123.3202111,3,101308,45
27.1,48.48506178,-123.3204153,4,,
27.1,48.48429614,-123.3209126,5,,
27.1,48.48291709,-123.3217231,6,,
27.1,48.48269575,-123.3218503,7,101265,60
27.1,48.4819474,-123.3222806,8,,
27.1,48.48180714,-123.3223702,9,,
27.1,48.4814,-123.3226301,10,101238,30
27.1,48.4809073,-123.3229447,11,,
27.1,48.4807537,-123.3230048,12,,
27.1,48.4795141,-123.3230169,13,,
27.1,48.4787434,-123.3230295,14,,
27.1,48.47829382,-123.3230317,15,101170,60
27.1,48.47794113,-123.3230335,16,,
27.1,48.47747327,-123.3230358,17,,
27.1,48.4769942,-123.3230382,18,,
27.1,48.4760149,-123.3230423,19,,
27.1,48.47601782,-123.3236448,20,101137,45
27.1,48.47602109,-123.3243225,21,,
27.1,48.47602337,-123.3247614,22,,
27.1,48.47602526,-123.3251267,23,,
27.1,48.4760304,-123.3261211,24,,
27.1,48.47602722,-123.3267421,25,101115,45
27.1,48.47602704,-123.3267772,26,,
27.1,48.4760231,-123.3275465,27,,
27.1,48.4760261,-123.3283811,28,,
27.1,48.47602504,-123.3289507,29,101105,45
27.1,48.4760178,-123.3328146,30,,
27.1,48.47566515,-123.3327103,31,101074,60
27.1,48.4753891,-123.3326286,32,,
27.1,48.47465669,-123.332547,33,,
27.1,48.4729224,-123.3326112,34,,
27.1,48.47257549,-123.332624,35,,
27.1,48.47230838,-123.3326315,36,101028,60
27.1,48.47055238,-123.3326809,37,100995,30
